rawCallsign,rawAircraftRegistration,rawAircraftHex,matchMethod,confidence,identifierAgreement,matchedFlightNumber,matchedFlightCallsign,matchedFlightRegistration,matchedFlightModeS,airlineIcao,airlineIata,route,direction,scheduledTimeLocal,score,source
,N653JD,A898AB,route-time-position-score,low,none,3973,,,,AAL,AA,KORD-KRST,departure,2026-05-14 16:44-05:00,23,aerodatabox-airport-fids
N66DD,N66DD,A8B22F,route-time-position-score,low,none,5885,SKW5885,N945SW,AD2160,UAL,UA,KORD-KSBN,departure,2026-05-14 16:45-05:00,22,aerodatabox-airport-fids
SWA3227,N8895Q,AC425A,route-time-position-score,low,none,5029,SKW726P,N915SW,ACAAE3,UAL,UA,KORD-KMCW,departure,2026-05-14 16:45-05:00,25,aerodatabox-airport-fids
N911ZP,N911ZP,AC9CAF,route-time-position-score,low,none,3664,,,,AAL,AA,KORD-KFAR,departure,2026-05-14 16:45-05:00,23,aerodatabox-airport-fids
N688LB,N688LB,A921EB,route-time-position-score,low,none,3930,,,,AAL,AA,KORD-KATW,departure,2026-05-14 16:46-05:00,22,aerodatabox-airport-fids
N13NN,N13NN,A07A11,route-time-position-score,low,none,3930,ENY3930,N214NN,A1C997,ENY,MQ,KORD-KATW,departure,2026-05-14 16:46-05:00,23,aerodatabox-airport-fids
NJM888,N888RT,AC3D16,route-time-position-score,low,none,5108,SKW730V,N937EV,AD0022,UAL,UA,KORD-KSLN,departure,2026-05-14 16:50-05:00,22,aerodatabox-airport-fids
UAL1156,N77530,AA7E74,icao24,high,icao24,1156,UAL1156,N77530,AA7E74,UAL,UA,KLGA-KORD,arrival,2026-05-14 18:14-05:00,100,aerodatabox-airport-fids
KLM48,PH-BKR,486073,icao24,high,icao24,612,KLM48,PH-BKR,486073,KLM,KL,KORD-EHAM,departure,2026-05-14 16:20-05:00,100,aerodatabox-airport-fids
SKW5376,N463SW,A5A665,icao24,high,icao24,4698,SKW4691,N463SW,A5A665,DAL,DL,KCAK-KORD,arrival,2026-05-14 18:08-05:00,100,aerodatabox-airport-fids
